2016-07-19 13:43:57 3266 10.60  808.4 8569.0   8.08 -823.6 -6654.  -0.78 221.00 210.00 
2016-07-19 13:44:01 3267 10.60  807.2 8556.3   8.08 -824.0 -6657.  -0.78 221.00 210.00 
2016-07-19 13:44:05 3268 10.61  797.2 8456.7   8.08 -827.2 -6683.  -0.79 221.00 210.00 
2016-07-19 13:44:07 3269 10.61  797.6 8460.9   8.08 -827.2 -6683.  -0.79 221.00 210.00 
2016-07-19 13:44:11 3270 10.61  796.8 8452.4   8.08 -827.2 -6683.  -0.79 221.00 210.00 
2016-07-19 13:44:15 3271 10.61  796.8 8452.4   8.08 -827.2 -6683.  -0.79 221.00 210.00 
2016-07-19 13:44:18 3272 10.61  796.8 8452.4   8.08 -826.4 -6677.  -0.79 221.00 210.00 
2016-07-19 13:44:22 3273 10.61  796.8 8452.4   8.08 -826.4 -6677.  -0.79 221.00 210.00 
2016-07-19 13:44:26 3274 10.61  796.4 8448.2   8.08 -826.4 -6677.  -0.79 221.00 210.00 
2016-07-19 13:44:28 3275 10.61  796.0 8443.9   8.08 -826.0 -6674.  -0.79 221.00 210.00 
2016-07-19 13:44:32 3276 10.61  796.4 8448.2   8.08 -825.6 -6670.  -0.79 221.00 210.00 
2016-07-19 13:44:36 3277 10.62  779.6 8276.2   8.09 -832.4 -6732.  -0.81 221.00 210.00 
2016-07-19 13:44:39 3278 10.61  795.2 8435.4   8.09 -825.6 -6677.  -0.79 221.00 210.00 
2016-07-19 13:44:43 3279 10.61  794.0 8422.7   8.09 -826.0 -6680.  -0.79 221.00 210.00 
2016-07-19 13:44:47 3280 10.61  794.4 8427.0   8.09 -825.2 -6674.  -0.79 221.00 210.00 
2016-07-19 13:44:49 3281 10.61  792.4 8405.7   8.09 -826.0 -6680.  -0.79 221.00 210.00 
2016-07-19 13:44:53 3282 10.61  792.8 8410.0   8.09 -825.2 -6674.  -0.79 221.00 210.00 
2016-07-19 13:44:57 3283 10.61  794.8 8431.2   8.09 -824.0 -6664.  -0.79 221.00 210.00 
2016-07-19 13:45:00 3284 10.61  794.0 8422.7   8.09 -824.0 -6664.  -0.79 221.00 210.00 
2016-07-19 13:45:04 3285 10.61  795.6 8439.7   8.09 -823.6 -6661.  -0.79 221.00 210.00 
2016-07-19 13:45:08 3286 10.61  795.2 8435.4   8.09 -823.2 -6658.  -0.79 221.00 210.00 
2016-07-19 13:45:10 3287 10.61  794.0 8422.7   8.09 -823.2 -6658.  -0.79 221.00 210.00 
2016-07-19 13:45:14 3288 10.62  775.2 8229.5   8.09 -830.4 -6716.  -0.82 221.00 210.00 
2016-07-19 13:45:18 3289 10.61  793.6 8418.5   8.09 -822.8 -6654.  -0.79 221.00 210.00 
2016-07-19 13:45:20 3290 10.61  793.2 8414.2   8.09 -823.2 -6658.  -0.79 221.00 210.00 
2016-07-19 13:45:24 3291 10.61  792.8 8410.0   8.09 -822.8 -6654.  -0.79 221.00 210.00 
2016-07-19 13:45:28 3292 10.61  794.0 8422.7   8.09 -822.4 -6651.  -0.79 221.00 210.00 
2016-07-19 16:07:06 5734 10.72  444.8 4768.2   8.34 -374.0 -3120.  -0.65 221.00 210.00 
2016-07-19 16:07:10 5735 10.72  435.2 4665.3   8.35 -377.2 -3150.  -0.68 221.00 201.00 
2016-07-19 16:07:14 5736 10.72  435.2 4665.3   8.35 -377.2 -3150.  -0.68 221.00 201.00 
2016-07-19 16:07:17 5737 10.73  419.2 4497.1   8.35 -382.4 -3193.  -0.71 221.00 201.00 
2016-07-19 16:07:21 5738 10.72  434.8 4661.0   8.35 -377.2 -3150.  -0.68 221.00 201.00 
2016-07-19 16:07:25 5739 10.72  435.6 4669.6   8.35 -376.8 -3147.  -0.67 221.00 201.00 
2016-07-19 16:07:27 5740 10.72  434.8 4661.0   8.35 -376.8 -3147.  -0.68 221.00 201.00 
2016-07-19 16:07:31 5741 10.72  434.0 4652.4   8.35 -377.2 -3150.  -0.68 221.00 201.00 
2016-07-19 16:07:35 5742 10.72  434.8 4661.0   8.35 -376.8 -3147.  -0.68 221.00 201.00 
2016-07-19 16:07:38 5743 10.71  447.2 4790.4   8.34 -371.6 -3100.  -0.65 221.00 210.00 
2016-07-19 16:07:42 5744 10.72  435.6 4669.6   8.35 -376.0 -3140.  -0.67 221.00 201.00 
2016-07-19 16:07:46 5745 10.71  448.4 4803.2   8.34 -371.6 -3100.  -0.65 221.00 210.00 
2016-07-19 16:07:48 5746 10.72  435.2 4665.3   8.35 -376.0 -3140.  -0.67 221.00 201.00 
2016-07-19 16:07:52 5747 10.72  434.0 4652.4   8.35 -376.4 -3143.  -0.68 221.00 201.00 
2016-07-19 16:07:56 5748 10.73  420.4 4510.0   8.35 -380.8 -3180.  -0.71 221.00 201.00 
2016-07-19 16:07:59 5749 10.72  434.4 4656.7   8.35 -376.0 -3140.  -0.67 221.00 201.00 
2016-07-19 16:08:03 5750 10.72  433.6 4648.1   8.35 -376.4 -3143.  -0.68 221.00 201.00 
2016-07-19 16:08:07 5751 10.72  433.6 4648.1   8.35 -376.0 -3140.  -0.68 221.00 201.00 
2016-07-19 16:08:09 5752 10.72  434.8 4661.0   8.35 -375.2 -3133.  -0.67 221.00 201.00 
